PeakID (cmd=annotatePeaks.pl results/overlaps/bcor_kdm2b_overlap_without_h3k27me3.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_KDM2B_common_region-4548	chr3	142143011	142143632	+	.	NA	promoter-TSS (NM_018155)	NA	-47	NM_001104647	55186		NM_018155	ENSG00000114120	SLC25A36	HHF8|PNC2	solute carrier family 25 member 36	protein-coding
BCOR_KDM2B_common_region-1959	chr14	76633772	76634082	+	.	NA	promoter-TSS (NM_033426)	NA	-427	NM_033426	85457		NM_033426	ENSG00000198894	CIPC	KIAA1737	CLOCK interacting pacemaker	protein-coding
BCOR_KDM2B_common_region-2776	chr17	34235108	34235374	+	.	NA	promoter-TSS (NR_073428)	NA	-112	NR_073428	54883		NM_017748	ENSG00000273559	CWC25	CCDC49	CWC25 spliceosome associated protein homolog	protein-coding
BCOR_KDM2B_common_region-2554	chr16	84204917	84205024	+	.	NA	intron (NM_001278184, intron 1 of 14)	NA	541	NM_014615	23199		NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
BCOR_KDM2B_common_region-4164	chr22	22440564	22440904	+	.	NA	promoter-TSS (NM_001301339)	NA	-575	NM_001301339	400916		NM_213720	ENSG00000250479	CHCHD10	C22orf16|FTDALS2|IMMD|MIX17A|N27C7-4|SMAJ	coiled-coil-helix-coiled-coil-helix domain containing 10	protein-coding
BCOR_KDM2B_common_region-6661	chrX	118809713	118809872	+	.	NA	promoter-TSS (NM_001000)	NA	-171	NM_001000	6170		NM_001000	ENSG00000198918	RPL39	L39|RPL39P42|RPL39_23_1806|eL39	ribosomal protein L39	protein-coding
BCOR_KDM2B_common_region-3694	chr2	149603776	149603874	+	.	NA	intron (NM_001317006, intron 1 of 4)	NA	366	NM_177964	130576		NM_177964	ENSG00000150556	LYPD6B	CT116|LYPD7	LY6/PLAUR domain containing 6B	protein-coding
BCOR_KDM2B_common_region-4874	chr4	146873865	146874083	+	.	NA	TTS (NM_001080531)	NA	53226	NM_001080531	646603		NM_001080531	ENSG00000237136	C4orf51	-	chromosome 4 open reading frame 51	protein-coding
BCOR_KDM2B_common_region-346	chr1	93199414	93199571	+	.	NA	intron (NM_001252273, intron 1 of 4)	NA	115	NM_001006605	388650		NM_001006605	ENSG00000154511	DIPK1A	FAM69A	divergent protein kinase domain 1A	protein-coding
BCOR_KDM2B_common_region-3818	chr2	219825762	219827675	+	.	NA	intron (NM_001355221, intron 1 of 3)	NA	166	NM_006000	7277		NM_006000	ENSG00000127824	TUBA4A	ALS22|H2-ALPHA|TUBA1	tubulin alpha 4a	protein-coding
BCOR_KDM2B_common_region-2266	chr15	90198321	90198605	+	.	NA	promoter-TSS (NR_135775)	NA	-75	NR_135775	28232		NM_013272	ENSG00000176463	SLCO3A1	OATP-D|OATP-RP3|OATP3A1|OATPD|OATPRP3|SLC21A11	solute carrier organic anion transporter family member 3A1	protein-coding
BCOR_KDM2B_common_region-6445	chr9	114182220	114182444	+	.	NA	intron (NR_036651, intron 1 of 9)	NA	123	NM_032303	84263		NM_032303	ENSG00000119471	HSDL2	C9orf99|SDR13C1	hydroxysteroid dehydrogenase like 2	protein-coding
BCOR_KDM2B_common_region-2000	chr14	99912351	99912354	+	.	NA	promoter-TSS (NM_001350950)	NA	65	NM_173701	7453		NM_004184	ENSG00000140105	WARS1	GAMMA-2|HMN9|HMND9|IFI53|IFP53|NEDMSBA|WARS	tryptophanyl-tRNA synthetase 1	protein-coding
BCOR_KDM2B_common_region-4119	chr21	44404348	44404428	+	.	NA	promoter-TSS (NR_146631)	NA	-215	NR_146631	105377138		NR_146631		LINC01678	-	long intergenic non-protein coding RNA 1678	ncRNA
BCOR_KDM2B_common_region-5006	chr5	56146486	56147045	+	.	NA	promoter-TSS (NM_005921)	NA	-368	NM_005921	4214		NM_005921	ENSG00000095015	MAP3K1	MAPKKK1|MEKK|MEKK 1|MEKK1|SRXY6	mitogen-activated protein kinase kinase kinase 1	protein-coding
BCOR_KDM2B_common_region-1114	chr11	62202837	62203145	+	.	NA	5' UTR (NM_001286078, exon 1 of 7)	NA	130	NM_015853	51035		NM_015853	ENSG00000162191	UBXN1	2B28|SAKS1|UBXD10	UBX domain protein 1	protein-coding
BCOR_KDM2B_common_region-4277	chr3	13436569	13436707	+	.	NA	exon (NM_024923, exon 1 of 40)	NA	184	NM_024923	23225		NM_024923	ENSG00000132182	NUP210	GP210|POM210	nucleoporin 210	protein-coding
BCOR_KDM2B_common_region-517	chr1	181075109	181075721	+	.	NA	promoter-TSS (NR_148933)	NA	-66	NR_148933	647070		NR_148933		DHX9-AS1	-	DHX9 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-4780	chr4	79808065	79808213	+	.	NA	intron (NR_038304, intron 3 of 3)	NA	21967	NR_038308	100505702		NR_038303		LINC01094	CTEPHA1	long intergenic non-protein coding RNA 1094	ncRNA
BCOR_KDM2B_common_region-2682	chr17	7405722	7405827	+	.	NA	promoter-TSS (NR_037926)	NA	-186	NM_015670	26168		NM_015670	ENSG00000161956	SENP3	SMT3IP1|SSP3|Ulp1	SUMO specific peptidase 3	protein-coding
BCOR_KDM2B_common_region-3999	chr20	55338327	55338557	+	.	NA	exon (NM_012444, exon 1 of 13)	NA	176	NM_012444	23626		NM_012444	ENSG00000054796	SPO11	CT35|SPATA43|TOPOVIA|TOPVIA	SPO11 initiator of meiotic double strand breaks	protein-coding
BCOR_KDM2B_common_region-1480	chr12	88626561	88628136	+	.	NA	promoter-TSS (NM_001366532)	NA	-74	NM_001366524	490		NM_001682	ENSG00000070961	ATP2B1	MRD66|PMCA1|PMCA1kb	ATPase plasma membrane Ca2+ transporting 1	protein-coding
BCOR_KDM2B_common_region-3872	chr2	241023240	241023352	+	.	NA	promoter-TSS (NM_002081)	NA	-457	NM_002081	2817		NM_002081	ENSG00000063660	GPC1	glypican	glypican 1	protein-coding
BCOR_KDM2B_common_region-3912	chr20	17610728	17610895	+	.	NA	promoter-TSS (NM_001042576)	NA	76	NM_001365613	6238		NM_004587	ENSG00000125844	RRBP1	ES/130|ES130|RRp|hES|p180	ribosome binding protein 1	protein-coding
BCOR_KDM2B_common_region-83	chr1	13947915	13948465	+	.	NA	promoter-TSS (NM_001007257)	NA	-307	NM_001007257	7799		NM_012231	ENSG00000116731	PRDM2	HUMHOXY1|KMT8|KMT8A|MTB-ZF|RIZ|RIZ1|RIZ2	PR/SET domain 2	protein-coding
BCOR_KDM2B_common_region-2188	chr15	72540418	72540588	+	.	NA	promoter-TSS (NR_120377)	NA	51	NM_032907	84993		NM_032907	ENSG00000138629	UBL7	BMSC-UbP|TCBA1	ubiquitin like 7	protein-coding
BCOR_KDM2B_common_region-5981	chr7	148454710	148455035	+	.	NA	promoter-TSS (NM_001001661)	NA	439	NM_020781	57541		NM_020781	ENSG00000197024	ZNF398	P51|P71|ZER6	zinc finger protein 398	protein-coding
BCOR_KDM2B_common_region-1655	chr13	19432222	19432494	+	.	NA	intron (NM_001353165, intron 2 of 21)	NA	1194	NM_001353162	7750		NM_003453	ENSG00000121741	ZMYM2	FIM|MYM|NECRC|RAMP|SCLL|ZNF198	zinc finger MYM-type containing 2	protein-coding
BCOR_KDM2B_common_region-6313	chr9	34038659	34038909	+	.	NA	intron (NM_001370059, intron 1 of 28)	NA	101	NM_001370062	55833		NM_018449	ENSG00000137073	UBAP2	UBAP-2	ubiquitin associated protein 2	protein-coding
BCOR_KDM2B_common_region-503	chr1	173235747	173235907	+	.	NA	5' UTR (NM_014412, exon 1 of 6)	NA	121	NM_014412	27101		NM_014412	ENSG00000116161	CACYBP	GIG5|PNAS-107|S100A6BP|SIP	calcyclin binding protein	protein-coding
BCOR_KDM2B_common_region-228	chr1	41756816	41756902	+	.	NA	intron (NM_024503, intron 6 of 8)	NA	-33918	NM_001302269	1907		NM_001956	ENSG00000127129	EDN2	ET-2|ET2|PPET2	endothelin 2	protein-coding
BCOR_KDM2B_common_region-2644	chr17	3573673	3574481	+	.	NA	exon (NM_031965, exon 1 of 1)	NA	131	NM_031965	83903		NM_031965	ENSG00000177602	HASPIN	GSG2	histone H3 associated protein kinase	protein-coding
BCOR_KDM2B_common_region-3572	chr2	84539708	84539920	+	.	NA	exon (NM_003849, exon 1 of 9)	NA	101	NM_003849	8802		NM_003849	ENSG00000163541	SUCLG1	GALPHA|MTDPS9|SUCLA1	succinate-CoA ligase GDP/ADP-forming subunit alpha	protein-coding
BCOR_KDM2B_common_region-5379	chr6	27828786	27829056	+	.	NA	Intergenic	NA	-8581	NR_038929	100131289		NR_038929		LOC100131289	-	uncharacterized LOC100131289	ncRNA
BCOR_KDM2B_common_region-2623	chr17	1249099	1249690	+	.	NA	intron (NR_024058, intron 1 of 6)	NA	872	NM_006761	7531		NM_006761	ENSG00000108953	YWHAE	14-3-3E|HEL2|KCIP-1|MDCR|MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	protein-coding
BCOR_KDM2B_common_region-2962	chr17	77843752	77843920	+	.	NA	non-coding (NR_135639, exon 1 of 2)	NA	143	NR_135639	101929511		NR_135639	ENSG00000265692	LINC01970	-	long intergenic non-protein coding RNA 1970	ncRNA
BCOR_KDM2B_common_region-6167	chr8	100974869	100975226	+	.	NA	promoter-TSS (NM_004374)	NA	64	NM_004374	1345		NM_004374	ENSG00000164919	COX6C	-	cytochrome c oxidase subunit 6C	protein-coding
BCOR_KDM2B_common_region-311	chr1	67668915	67669549	+	.	NA	promoter-TSS (NM_015640)	NA	-559	NM_001018067	26135		NM_015640	ENSG00000142864	SERBP1	CGI-55|CHD3IP|HABP4L|PAI-RBP1|PAIRBP1	SERPINE1 mRNA binding protein 1	protein-coding
BCOR_KDM2B_common_region-6074	chr8	42871232	42871985	+	.	NA	promoter-TSS (NR_027669)	NA	330	NM_032410	84376		NM_032410	ENSG00000168172	HOOK3	HK3	hook microtubule tethering protein 3	protein-coding
BCOR_KDM2B_common_region-6041	chr8	37739293	37739448	+	.	NA	promoter-TSS (NM_007198)	NA	49	NM_001349348	11212		NM_007198	ENSG00000147471	PLPBP	EPEO1|EPVB6D|PROSC	pyridoxal phosphate binding protein	protein-coding
BCOR_KDM2B_common_region-3837	chr2	231450709	231450716	+	.	NA	intron (NM_001287240, intron 5 of 5)	NA	-8793	NR_038238	151484		NR_038238	ENSG00000232520	GCSIR	Lnc-ITM2C-1	GPR55 cis regulatory suppressor of immune response RNA	ncRNA
BCOR_KDM2B_common_region-3058	chr18	58534925	58535089	+	.	NA	exon (NM_194449, exon 1 of 17)	NA	1253	NM_194449	23239		NM_194449	ENSG00000081913	PHLPP1	PHLPP|PLEKHE1|PPM3A|SCOP	PH domain and leucine rich repeat protein phosphatase 1	protein-coding
BCOR_KDM2B_common_region-4040	chr21	32572990	32573248	+	.	NA	exon (NM_018944, exon 1 of 5)	NA	112	NM_018944	54069		NM_018944	ENSG00000159055	MIS18A	B28|C21orf45|C21orf46|FASP1|MIS18alpha|hMis18alpha	MIS18 kinetochore protein A	protein-coding
BCOR_KDM2B_common_region-4947	chr5	271070	271241	+	.	NA	promoter-TSS (NM_001330758)	NA	113	NM_145265	133957		NM_145265	ENSG00000164366	CCDC127	-	coiled-coil domain containing 127	protein-coding
BCOR_KDM2B_common_region-5751	chr7	6065176	6065354	+	.	NA	promoter-TSS (NM_014413)	NA	67	NM_014413	27102		NM_014413	ENSG00000086232	EIF2AK1	HCR|HRI|LEMSPAD|hHRI	eukaryotic translation initiation factor 2 alpha kinase 1	protein-coding
BCOR_KDM2B_common_region-5045	chr5	79986303	79986476	+	.	NA	exon (NM_002439, exon 1 of 24)	NA	162	NM_002439	4437		NM_002439	ENSG00000113318	MSH3	DUP|FAP4|MRP1	mutS homolog 3	protein-coding
BCOR_KDM2B_common_region-2960	chr17	77782567	77782687	+	.	NA	promoter-TSS (NM_001042423)	NA	-770	NM_001042423	9123		NM_004207	ENSG00000141526	SLC16A3	MCT 3|MCT 4|MCT-3|MCT-4|MCT3|MCT4	solute carrier family 16 member 3	protein-coding
BCOR_KDM2B_common_region-6643	chrX	95826341	95826649	+	.	NA	promoter-TSS (NM_006729)	NA	-2	NM_006729	1730		NM_006729	ENSG00000147202	DIAPH2	DIA|DIA2|DRF2|POF|POF2|POF2A	diaphanous related formin 2	protein-coding
BCOR_KDM2B_common_region-4556	chr3	151170584	151171381	+	.	NA	promoter-TSS (NR_036538)	NA	390	NM_053024	5217		NM_002628	ENSG00000070087	PFN2	D3S1319E|PFL	profilin 2	protein-coding
BCOR_KDM2B_common_region-5557	chr6	107544732	107544953	+	.	NA	Intergenic	NA	-1430	NM_001367314	57673		NM_001080450	ENSG00000178409	BEND3	KIAA1553	BEN domain containing 3	protein-coding
BCOR_KDM2B_common_region-611	chr1	227473876	227474076	+	.	NA	promoter-TSS (NR_149313)	NA	-452	NR_149312	105373159		NR_149312	ENSG00000177788	RAB4A-AS1	-	RAB4A antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-5491	chr6	56928670	56928881	+	.	NA	intron (NM_001318539, intron 1 of 3)	NA	911	NM_152731	221336		NM_152731	ENSG00000151917	BEND6	C6orf65	BEN domain containing 6	protein-coding
BCOR_KDM2B_common_region-4169	chr22	22882272	22882663	+	.	NA	intron (NM_001199281, intron 29 of 36)	NA	-24988	NM_019601	56241		NM_019601	ENSG00000099994	SUSD2	BK65A6.2|W5C5	sushi domain containing 2	protein-coding
BCOR_KDM2B_common_region-720	chr10	22580666	22580825	+	.	NA	promoter-TSS (NR_038921)	NA	-262	NR_038921	100130992		NR_038921		LOC100130992	-	uncharacterized LOC100130992	ncRNA
BCOR_KDM2B_common_region-210	chr1	38046391	38046520	+	.	NA	promoter-TSS (NM_024640)	NA	12	NM_024640	79693		NM_024640	ENSG00000196449	YRDC	DRIP3|GAMOS10|IRIP|SUA5	yrdC N6-threonylcarbamoyltransferase domain containing	protein-coding
BCOR_KDM2B_common_region-723	chr10	22653430	22653510	+	.	NA	intron (NM_005180, intron 1 of 9)	NA	3436	NM_005180	648		NM_005180	ENSG00000168283	BMI1	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	BMI1 proto-oncogene, polycomb ring finger	protein-coding
BCOR_KDM2B_common_region-43	chr1	7943895	7944214	+	.	NA	promoter-TSS (NM_007262)	NA	-247	NM_001123377	11315		NM_007262	ENSG00000116288	PARK7	DJ-1|DJ1|GATD2|HEL-S-67p	Parkinsonism associated deglycase	protein-coding
BCOR_KDM2B_common_region-4339	chr3	44355268	44355476	+	.	NA	intron (NM_001029839, intron 1 of 3)	NA	110	NM_001282914	285343		NM_173826	ENSG00000179152	TCAIM	C3orf23|TOAG-1|TOAG1	T cell activation inhibitor, mitochondrial	protein-coding
BCOR_KDM2B_common_region-4681	chr4	2935104	2935433	+	.	NA	promoter-TSS (NM_003703)	NA	172	NM_182982	2868		NM_005307	ENSG00000125388	GRK4	GPRK2L|GPRK4|GRK4a|IT11	G protein-coupled receptor kinase 4	protein-coding
BCOR_KDM2B_common_region-3773	chr2	201082727	201083215	+	.	NA	promoter-TSS (NM_152387)	NA	65	NM_001321550	130535		NM_152387	ENSG00000155729	KCTD18	6530404F10Rik	potassium channel tetramerization domain containing 18	protein-coding
BCOR_KDM2B_common_region-1497	chr12	97421695	97421851	+	.	NA	promoter-TSS (NR_038383)	NA	-9	NR_038383	643770		NR_038383	ENSG00000245017	LINC02453	-	long intergenic non-protein coding RNA 2453	ncRNA
BCOR_KDM2B_common_region-302	chr1	63831677	63832239	+	.	NA	promoter-TSS (NM_001172819)	NA	-110	NM_001172819	5236		NM_002633	ENSG00000079739	PGM1	CDG1T|GSD14	phosphoglucomutase 1	protein-coding
BCOR_KDM2B_common_region-6005	chr7	156378372	156378615	+	.	NA	non-coding (NR_146959, exon 1 of 21)	NA	145	NM_001350957	64327		NM_022458	ENSG00000105983	LMBR1	ACHP|C7orf2|DIF14|LSS|PPD2|THYP|TPT|TPTPS|ZRS	limb development membrane protein 1	protein-coding
BCOR_KDM2B_common_region-3984	chr20	44751063	44751379	+	.	NA	exon (NM_033550, exon 1 of 2)	NA	269	NM_033550	112858		NM_033550	ENSG00000172315	TP53RK	BUD32|C20orf64|GAMOS4|Nori-2|Nori-2p|PRPK|TPRKB|dJ101A2	TP53 regulating kinase	protein-coding
BCOR_KDM2B_common_region-3450	chr2	44442525	44442876	+	.	NA	promoter-TSS (NM_001171606)	NA	110	NM_024766	79823		NM_024766	ENSG00000143919	CAMKMT	C2orf34|CLNMT|CaM KMT|Cam|KMT	calmodulin-lysine N-methyltransferase	protein-coding
BCOR_KDM2B_common_region-5616	chr6	135860225	135860869	+	.	NA	promoter-TSS (NM_001350504)	NA	24	NM_001134831	54806		NM_017651	ENSG00000135541	AHI1	AHI-1|JBTS3|ORF1|dJ71N10.1	Abelson helper integration site 1	protein-coding
BCOR_KDM2B_common_region-618	chr1	228269607	228269761	+	.	NA	promoter-TSS (NM_004481)	NA	76	NM_004481	2590		NM_004481	ENSG00000143641	GALNT2	CDG2T|GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
BCOR_KDM2B_common_region-4542	chr3	137952875	137953495	+	.	NA	intron (NM_005862, intron 1 of 33)	NA	725	NM_005862	10274		NM_005862	ENSG00000118007	STAG1	MRD47|SA1|SCC3A	STAG1 cohesin complex component	protein-coding
BCOR_KDM2B_common_region-4113	chr21	44256392	44256587	+	.	NA	promoter-TSS (NM_003274)	NA	-129	NM_003274	7109		NM_003274	ENSG00000160218	TRAPPC10	EHOC-1|EHOC1|GT334|NEDMISS|TMEM1|TRS130|TRS30	trafficking protein particle complex subunit 10	protein-coding
BCOR_KDM2B_common_region-2126	chr15	61680544	61680986	+	.	NA	promoter-TSS (NR_034080)	NA	-686	NR_034080	100130855		NR_034080	ENSG00000259248	USP3-AS1	-	USP3 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-5055	chr5	95183590	95183733	+	.	NA	intron (NM_002064, intron 1 of 2)	NA	525	NM_001118890	2745		NM_002064	ENSG00000173221	GLRX	GRX|GRX1	glutaredoxin	protein-coding
BCOR_KDM2B_common_region-5942	chr7	107997523	107998046	+	.	NA	promoter-TSS (NM_001287601)	NA	230	NM_012328	4189		NM_012328	ENSG00000128590	DNAJB9	ERdj4|MDG-1|MDG1|MST049|MSTP049	DnaJ heat shock protein family (Hsp40) member B9	protein-coding
BCOR_KDM2B_common_region-2090	chr15	48987402	48988280	+	.	NA	promoter-TSS (NM_001252127)	NA	-331	NM_001252127	23431		NM_007347	ENSG00000081014	AP4E1	CPSQ4|SPG51|STUT1	adaptor related protein complex 4 subunit epsilon 1	protein-coding
BCOR_KDM2B_common_region-1793	chr13	112911992	112912121	+	.	NA	exon (NM_001354943, exon 1 of 6)	NA	128	NM_001008895	8451		NM_003589	ENSG00000139842	CUL4A	-	cullin 4A	protein-coding
BCOR_KDM2B_common_region-6479	chr9	128662498	128662596	+	.	NA	promoter-TSS (NM_001099270)	NA	-192	NM_001099270	403341		NM_203482	ENSG00000177125	ZBTB34	ZNF918	zinc finger and BTB domain containing 34	protein-coding
BCOR_KDM2B_common_region-5377	chr6	26646444	26646843	+	.	NA	promoter-TSS (NM_006353)	NA	70	NM_006353	10473		NM_006353	ENSG00000182952	HMGN4	HMG17L3|NHC	high mobility group nucleosomal binding domain 4	protein-coding
BCOR_KDM2B_common_region-4475	chr3	109129176	109129557	+	.	NA	intron (NR_015394, intron 2 of 2)	NA	44624	NR_015394	285205		NR_015394	ENSG00000240423	LINC00636	-	long intergenic non-protein coding RNA 636	ncRNA
BCOR_KDM2B_common_region-3466	chr2	48395640	48395871	+	.	NA	5' UTR (NM_001375452, exon 1 of 6)	NA	430	NM_002158	3344		NM_002158	ENSG00000170802	FOXN2	HTLF	forkhead box N2	protein-coding
BCOR_KDM2B_common_region-5914	chr7	99918799	99919237	+	.	NA	promoter-TSS (NM_173564)	NA	-468	NM_173564	222950		NM_173564	ENSG00000166924	NYAP1	C7orf51	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1	protein-coding
BCOR_KDM2B_common_region-3956	chr20	33750541	33750771	+	.	NA	promoter-TSS (NM_001198989)	NA	32	NR_037570	9054		NM_021100	ENSG00000244005	NFS1	COXPD52|HUSSY-08|IscS|NIFS	NFS1 cysteine desulfurase	protein-coding
BCOR_KDM2B_common_region-3230	chr19	18251886	18252656	+	.	NA	exon (NM_005354, exon 1 of 1)	NA	1161	NM_005354	3727		NM_005354	ENSG00000130522	JUND	AP-1	JunD proto-oncogene, AP-1 transcription factor subunit	protein-coding
BCOR_KDM2B_common_region-4092	chr21	43172561	43172682	+	.	NA	promoter-TSS (NM_018669)	NA	97	NM_018669	10785		NM_018669	ENSG00000160193	WDR4	GAMOS6|MIGSB|TRM82|TRMT82|Wuho|hWH	WD repeat domain 4	protein-coding
BCOR_KDM2B_common_region-5712	chr7	1001778	1001966	+	.	NA	intron (NR_156697, intron 4 of 4)	NA	12529	NM_017781	54905		NM_017781	ENSG00000073067	CYP2W1	-	cytochrome P450 family 2 subfamily W member 1	protein-coding
BCOR_KDM2B_common_region-4446	chr3	71713246	71713640	+	.	NA	non-coding (NR_146142, exon 2 of 20)	NA	2126	NM_001349340	27086		NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
BCOR_KDM2B_common_region-3322	chr19	63722985	63723111	+	.	NA	promoter-TSS (NM_001316978)	NA	-59	NM_001316981	84878		NM_032792	ENSG00000119574	ZBTB45	ZNF499	zinc finger and BTB domain containing 45	protein-coding
BCOR_KDM2B_common_region-5601	chr6	122762497	122762843	+	.	NA	exon (NM_001243094, exon 1 of 7)	NA	174	NM_001243094	3298		NM_004506	ENSG00000025156	HSF2	HSF 2|HSTF 2	heat shock transcription factor 2	protein-coding
BCOR_KDM2B_common_region-6654	chrX	118254249	118254862	+	.	NA	exon (NM_001282621, exon 1 of 2)	NA	279	NM_006667	10857		NM_006667	ENSG00000101856	PGRMC1	Dap1|HPR6.6|IZA|MPR	progesterone receptor membrane component 1	protein-coding
BCOR_KDM2B_common_region-3761	chr2	197882580	197883103	+	.	NA	intron (NM_001367496, intron 1 of 27)	NA	908	NM_001367496	91526		NM_153697	ENSG00000065413	ANKRD44	PP6-ARS-B	ankyrin repeat domain 44	protein-coding
BCOR_KDM2B_common_region-4159	chr22	21853769	21853951	+	.	NA	exon (NM_021574, exon 1 of 22)	NA	1164	NM_004327	613		NM_004327	ENSG00000186716	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	BCR activator of RhoGEF and GTPase	protein-coding
BCOR_KDM2B_common_region-4366	chr3	48317769	48318331	+	.	NA	promoter-TSS (NM_001308433)	NA	129	NM_001308434	10201		NM_005793	ENSG00000172113	NME6	IPIA-ALPHA|NDK 6|NM23-H6	NME/NM23 nucleoside diphosphate kinase 6	protein-coding
BCOR_KDM2B_common_region-6327	chr9	35595520	35596152	+	.	NA	intron (NM_006285, intron 1 of 9)	NA	577	NM_006285	7016		NM_006285	ENSG00000107140	TESK1	-	testis associated actin remodelling kinase 1	protein-coding
BCOR_KDM2B_common_region-6351	chr9	70926211	70926339	+	.	NA	promoter-TSS (NM_001369870)	NA	40	NM_001369870	9414		NM_004817	ENSG00000119139	TJP2	C9DUPq21.11|DFNA51|DUP9q21.11|FHCA1|PFIC4|X104|ZO2	tight junction protein 2	protein-coding
BCOR_KDM2B_common_region-6186	chr8	103944475	103944841	+	.	NA	intron (NM_001363010, intron 1 of 11)	NA	909	NM_148174	51582		NM_015878	ENSG00000155096	AZIN1	AZI|AZI1|AZIA1|OAZI|OAZIN|ODC1L	antizyme inhibitor 1	protein-coding
BCOR_KDM2B_common_region-2613	chr17	959306	959509	+	.	NA	promoter-TSS (NM_001092)	NA	-315	NM_001092	29		NM_001092	ENSG00000159842	ABR	MDB	ABR activator of RhoGEF and GTPase	protein-coding
BCOR_KDM2B_common_region-420	chr1	150029476	150029595	+	.	NA	promoter-TSS (NM_001083964)	NA	65	NM_001083965	11022		NM_006862	ENSG00000182134	TDRKH	TDRD2	tudor and KH domain containing	protein-coding
BCOR_KDM2B_common_region-5719	chr7	2106587	2106704	+	.	NA	intron (NM_001013837, intron 11 of 18)	NA	-11432	NR_145797	109623488		NR_145797		SNORA114	-	small nucleolar RNA, H/ACA box 114	snoRNA
BCOR_KDM2B_common_region-5761	chr7	7646875	7647099	+	.	NA	promoter-TSS (NM_001302350)	NA	79	NM_001302348	729852		NM_001302348	ENSG00000219545	UMAD1	RPA3-AS1|RPA3OS	UBAP1-MVB12-associated (UMA) domain containing 1	protein-coding
BCOR_KDM2B_common_region-4719	chr4	40005081	40005235	+	.	NA	intron (NR_121641, intron 2 of 3)	NA	1181	NR_121641	101060498		NR_121640	ENSG00000249241	LINC02265	-	long intergenic non-protein coding RNA 2265	ncRNA
BCOR_KDM2B_common_region-916	chr10	104253790	104254074	+	.	NA	exon (NM_001178133, exon 1 of 11)	NA	213	NM_016169	51684		NM_016169	ENSG00000107882	SUFU	BCNS2|JBTS32|PRO1280|SUFUH|SUFUXL	SUFU negative regulator of hedgehog signaling	protein-coding
BCOR_KDM2B_common_region-5967	chr7	135312549	135312706	+	.	NA	promoter-TSS (NM_001128619)	NA	20	NM_001128619	767558		NM_001128619		LUZP6	MPD6|MTPNUT	leucine zipper protein 6	unknown
BCOR_KDM2B_common_region-4936	chr4	186301813	186302006	+	.	NA	intron (NM_001151, intron 1 of 3)	NA	495	NM_001151	291		NM_001151	ENSG00000151729	SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	solute carrier family 25 member 4	protein-coding
BCOR_KDM2B_common_region-5406	chr6	35335224	35335509	+	.	NA	promoter-TSS (NM_003427)	NA	-124	NM_001292032	7629		NM_003427	ENSG00000065029	ZNF76	D6S229E|ZNF523|Zfp523	zinc finger protein 76	protein-coding
